Time,Date,Month,Year,Max_req,Shortage,Drawal,Od,Max_od,Eneryg,Energy_met
2020-03-31,31.0,3.0,2020.0,8296.0,0.0,85.4,-1.0,366.0,0.0,164.2
2020-04-01,1.0,4.0,2020.0,8321.0,0.0,91.0,-0.7,473.0,0.0,163.7
2020-04-03,3.0,4.0,2020.0,8424.0,0.0,86.6,-0.5,395.0,0.0,165.2
2020-04-04,4.0,4.0,2020.0,8222.0,0.0,87.1,-0.2,483.0,0.0,163.2
2020-04-05,5.0,4.0,2020.0,8189.0,0.0,85.7,0.9,1083.0,0.0,162.0
2020-04-06,6.0,4.0,2020.0,8595.0,0.0,93.9,0.8,628.0,0.0,164.1
2020-04-07,7.0,4.0,2020.0,8312.0,0.0,91.2,0.2,824.0,0.0,160.3
2020-04-08,8.0,4.0,2020.0,8095.0,0.0,89.5,0.3,677.0,0.0,155.6
2020-04-09,9.0,4.0,2020.0,6391.0,0.0,69.2,-1.6,619.0,0.0,130.6
2020-04-10,10.0,4.0,2020.0,6831.0,0.0,66.8,-0.4,602.0,0.0,139.7
2020-04-11,11.0,4.0,2020.0,7345.0,0.0,76.1,-0.2,446.0,0.0,148.7
2020-04-12,12.0,4.0,2020.0,7540.0,0.0,78.9,0.1,455.0,0.0,154.9
2020-04-13,13.0,4.0,2020.0,7724.0,0.0,92.6,1.3,402.0,0.0,158.7
2020-04-14,14.0,4.0,2020.0,7862.0,0.0,86.6,-0.4,426.0,0.0,160.9
2020-04-15,15.0,4.0,2020.0,8025.0,0.0,92.4,0.5,460.0,0.0,163.0
2020-04-16,16.0,4.0,2020.0,8204.0,0.0,99.4,0.6,386.0,0.0,165.0
2020-04-17,17.0,4.0,2020.0,8400.0,0.0,102.0,0.3,445.0,0.0,166.6
2020-04-18,18.0,4.0,2020.0,8332.0,0.0,102.2,0.7,562.0,0.0,171.0
2020-04-19,19.0,4.0,2020.0,8281.0,0.0,102.0,-0.3,421.0,0.0,168.7
2020-04-20,20.0,4.0,2020.0,8455.0,0.0,100.5,0.2,414.0,0.0,170.6
2020-04-21,21.0,4.0,2020.0,8416.0,0.0,96.0,-0.3,421.0,0.0,169.3
2020-04-22,22.0,4.0,2020.0,8387.0,0.0,94.4,-1.4,241.0,0.0,170.1
2020-04-23,23.0,4.0,2020.0,8484.0,0.0,92.5,-0.2,463.0,0.0,170.5
2020-04-24,24.0,4.0,2020.0,8410.0,0.0,89.4,-0.2,469.0,0.0,169.4
2020-04-25,25.0,4.0,2020.0,8165.0,0.0,84.4,-1.5,353.0,0.0,159.1
2020-04-26,26.0,4.0,2020.0,7579.0,0.0,80.5,-0.3,339.0,0.0,148.6
2020-04-27,27.0,4.0,2020.0,7383.0,0.0,69.4,0.4,392.0,0.0,150.9
2020-04-28,28.0,4.0,2020.0,7649.0,0.0,84.9,0.3,584.0,0.0,155.8
2020-04-29,29.0,4.0,2020.0,6866.0,0.0,73.6,-0.1,634.0,0.0,142.2
2020-04-30,30.0,4.0,2020.0,7191.0,0.0,83.5,-0.7,537.0,0.0,151.3
2020-05-01,1.0,5.0,2020.0,7537.0,0.0,83.0,0.8,557.0,0.0,151.8
2020-05-02,2.0,5.0,2020.0,7838.0,0.0,88.7,0.0,450.0,0.0,157.9
2020-05-03,3.0,5.0,2020.0,8260.0,0.0,93.4,0.0,478.0,0.0,163.9
2020-05-04,4.0,5.0,2020.0,8414.0,0.0,96.3,-1.2,639.0,0.0,167.5
2020-05-05,5.0,5.0,2020.0,8533.0,0.0,98.0,0.0,579.0,0.0,170.6
2020-05-06,6.0,5.0,2020.0,8702.0,0.0,95.0,1.2,807.0,0.0,171.9
2020-05-07,7.0,5.0,2020.0,8762.0,0.0,105.2,0.5,655.0,0.0,171.7
2020-05-08,8.0,5.0,2020.0,8884.0,0.0,106.1,0.4,527.0,0.0,174.8
2020-05-09,9.0,5.0,2020.0,9123.0,0.0,108.1,-0.8,536.0,0.0,177.3
2020-05-10,10.0,5.0,2020.0,8750.0,0.0,103.4,0.3,458.0,0.0,175.6
2020-05-11,11.0,5.0,2020.0,9100.0,0.0,109.6,-0.8,458.0,0.0,180.6
2020-05-13,13.0,5.0,2020.0,9075.0,0.0,113.8,-0.3,358.0,0.0,180.5
2020-05-14,14.0,5.0,2020.0,8620.0,0.0,104.4,-0.3,469.0,0.0,174.5
2020-05-15,15.0,5.0,2020.0,9071.0,0.0,101.5,1.1,825.0,0.0,181.9
2020-05-16,16.0,5.0,2020.0,9506.0,0.0,101.5,1.2,748.0,0.0,185.5
2020-05-17,17.0,5.0,2020.0,9055.0,0.0,98.3,1.8,837.0,0.0,177.6
2020-05-18,18.0,5.0,2020.0,8618.0,0.0,82.3,-1.3,555.0,0.0,174.1
2020-05-19,19.0,5.0,2020.0,7789.0,0.0,55.9,1.8,620.0,0.0,164.7
2020-05-20,20.0,5.0,2020.0,8890.0,0.0,64.7,0.1,681.0,0.0,175.5
2020-05-21,21.0,5.0,2020.0,9649.0,0.0,80.9,2.3,972.0,0.0,186.9
2020-05-22,22.0,5.0,2020.0,10060.0,0.0,85.3,3.6,958.0,0.0,192.3
2020-05-23,23.0,5.0,2020.0,10029.0,0.0,99.2,2.6,691.0,0.0,195.9
2020-05-24,24.0,5.0,2020.0,9870.0,0.0,101.1,-0.7,622.0,0.0,194.0
2020-05-25,25.0,5.0,2020.0,9955.0,0.0,99.5,0.6,622.0,0.0,191.6
